date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:42	102/102	U-----	200	untouched ('OK')	text/plain	etag:%22aff9c024e5f433e1301a38aab7da7561%22	https://design-vary-312059.framer.app/robots.txt		(from )
11:52:43	216472/216472	U--M-Z	200	updated ('OK')	text/html	etag:%226c0c271fb78bbcfe961c1abe0688dddd%22	https://design-vary-312059.framer.app/	/Users/miguelreng/websites/miguelreng.com/design-vary-312059.framer.app/index.html	(from )
11:52:43	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2003:52:43%20GMT	https://fonts.gstatic.com/	/Users/miguelreng/websites/miguelreng.com/fonts.gstatic.com/index.html	(from https://design-vary-312059.framer.app/)
11:52:44	237/237	---M--	200	added ('OK')	text/javascript	etag:%2235b3498a50572bb485750a331b9126ad%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-ICHDP6ER.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-ICHDP6ER.mjs	(from https://design-vary-312059.framer.app/)
11:52:47	447/447	U-----	200	untouched ('')	text/javascript	etag:%22bac0d5b5f6a61029b51079932ccda746%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-ELYU6EKT.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-ELYU6EKT.mjs	(from https://design-vary-312059.framer.app/)
11:52:48	570706/570706	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f99fe2adcc05e245cabcd1c694693821%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-BLFZ7YI2.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-BLFZ7YI2.mjs	(from https://design-vary-312059.framer.app/)
11:52:48	43184/43184	---MCZ	200	added ('OK')	text/javascript	etag:W/%228cb5a77b39adc7a19de00970cf6ccbe7%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/pVkpmPZDTpvkNjSKf4__UyxkbPV5jtR8HQzmgGElDtQ.HI46FO3W.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/pVkpmPZDTpvkNjSKf4__UyxkbPV5jtR8HQzmgGElDtQ.HI46FO3W.mjs	(from https://design-vary-312059.framer.app/)
11:52:49	2139/2139	---MCZ	200	added ('OK')	text/javascript	etag:W/%22911c53669bc6f4dab669c2b504706ae6%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-4HTJQVRE.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-4HTJQVRE.mjs	(from https://design-vary-312059.framer.app/)
11:52:49	49/49	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2012%20Mar%202024%2008:47:55%20GMT	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-AN5UTQEE.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-AN5UTQEE.mjs	(from https://design-vary-312059.framer.app/)
11:52:50	49/49	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2012%20Mar%202024%2008:47:56%20GMT	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-6IADQ7EP.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-6IADQ7EP.mjs	(from https://design-vary-312059.framer.app/)
11:52:52	35039/35039	---MCZ	200	added ('OK')	text/javascript	etag:W/%22781086a6a5be6d448601c27570beb795%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-ZF3DPUL7.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-ZF3DPUL7.mjs	(from https://design-vary-312059.framer.app/)
11:52:53	736/736	---M--	200	added ('OK')	text/javascript	etag:%2236ba48b919ec0b730d6629bd07809f31%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-VYQSLMUZ.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-VYQSLMUZ.mjs	(from https://design-vary-312059.framer.app/)
11:52:54	44/44	U-----	200	untouched ('')	text/javascript	etag:%22f5fe0cab78140e0e5aa29f68ce8c2888%22	https://framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-42U43NKG.mjs	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/sites/7A4a0iHQYhRcRP4wfjx7Oo/chunk-42U43NKG.mjs	(from https://design-vary-312059.framer.app/)
11:52:55	61735/61735	---MC-	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202024%2003:52:54%20GMT	https://framerusercontent.com/images/l8LdhgXExSAuhRffFlTsOLwXFyg.png	/Users/miguelreng/websites/miguelreng.com/framerusercontent.com/images/l8LdhgXExSAuhRffFlTsOLwXFyg.png	(from https://design-vary-312059.framer.app/)
11:52:56	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2003:52:55%20GMT	https://fonts.gstatic.com/robots.txt		(from https://design-vary-312059.framer.app/)
